DataPrefix,Season,Region,FavoriteSeed,UnderdogSeed,Diff_SeedNum,FavoriteSeedCode,UnderdogSeedCode,FavoriteTeamID,UnderdogTeamID,FavoriteTeam,UnderdogTeam,Favorite_Final_Massey,Underdog_Final_Massey,Diff_Final_Massey,FavoriteIsAlternate,UnderdogIsAlternate,HasPlayInPath,InModelingFile,FavoriteMatchesModelTeam1,MatchupLabel,MatchupKey,Model_Diff_Adj_Massey,Model_Diff_Adj_Seed,Model_Diff_Colley_Momentum,Model_Diff_Final_Colley,Model_Diff_Final_Massey,Model_Diff_Massey_Momentum,Model_Diff_Relative_Colley_Momentum,Model_Diff_Relative_Massey_Momentum,Model_Diff_SeedNum,Model_Diff_SeedNumBase,Model_Diff_SeedPlayInFlag,Model_Diff_TournamentPrestige_5Y_Decay,Model_Diff_adj_net_rating,Model_Diff_avg_ast_rate,Model_Diff_avg_ast_tov_ratio,Model_Diff_avg_blk_pct,Model_Diff_avg_def_rating,Model_Diff_avg_drb_pct,Model_Diff_avg_efg_pct,Model_Diff_avg_ft_par,Model_Diff_avg_ft_pct,Model_Diff_avg_ft_score,Model_Diff_avg_net_rating_game,Model_Diff_avg_off_rating,Model_Diff_avg_opp_ast_rate,Model_Diff_avg_opp_blk_pct,Model_Diff_avg_opp_efg_pct,Model_Diff_avg_opp_massey,Model_Diff_avg_opp_stl_pct,Model_Diff_avg_opp_tov_pct,Model_Diff_avg_orb_pct,Model_Diff_avg_pf_per_poss,Model_Diff_avg_possessions,Model_Diff_avg_stl_pct,Model_Diff_avg_three_par,Model_Diff_avg_three_pct,Model_Diff_avg_three_score,Model_Diff_avg_tov_pct,Model_Diff_avg_trb_pct,Model_Diff_avg_ts_pct,Model_Diff_away_net_rating,Model_Diff_ceiling_score,Model_Diff_games_played,Model_Diff_home_away_net_bias,Model_Diff_home_net_rating,Model_Diff_net_ast_rate,Model_Diff_net_blk_pct,Model_Diff_net_efg,Model_Diff_net_reb,Model_Diff_net_stl_pct,Model_Diff_net_tov,Model_Diff_playmaking_defense_composite,Model_Diff_pyth_win_pct,Model_Diff_sos_adj_net_rating,Model_Diff_three_factors_composite,Model_Diff_weighted_massey_momentum,Model_Season,Model_Team1ID,Model_Team1_AlternateColor,Model_Team1_Color,Model_Team1_Field68Role,Model_Team1_Logo,Model_Team1_Seed,Model_Team1_SeedRegion,Model_Team1_TeamName,Model_Team2ID,Model_Team2_AlternateColor,Model_Team2_Color,Model_Team2_Field68Role,Model_Team2_Logo,Model_Team2_Seed,Model_Team2_SeedRegion,Model_Team2_TeamName
m,2026,W,1,16,15,W01,W16,1181,1373,Duke,Siena,30.07848469371826,-2.812155216812057,32.89063991053032,False,False,True,True,True,(W01) Duke vs (W16) Siena,"(1181, 1373)",7.906209946262455,-15.0,0.0520860671403824,0.5714897376087884,32.89063991053032,3.264497970112421,0.0669329058607191,0.6006944113756187,15.0,-15.0,0,6.25,25.435427590966277,0.0683844770150831,0.2472070413246883,0.0151214453216237,-7.564292887664607,0.042200306752948,0.0593830456130861,0.0245744874703092,-0.0546229060893836,0.0033156947978045,20.343615114126184,12.779322226461574,0.0461579744682533,0.0001333053900874,-0.0242412371230713,18.005005883153096,-0.0096568151875831,0.0097560544221312,0.0598221045461489,0.0214326435640038,2.583823529411788,0.0264544551644197,0.1271855695201356,0.0503566128348609,0.1787454955562221,-0.0042982279141033,0.0548316066940185,0.0457454988170432,25.101442647190293,27.45854820060324,0,-10.183624953680177,14.917817693510116,0.0222265025468297,0.0149881399315363,0.0836242827361574,0.102022411299097,0.0361112703520028,0.0140542823362345,0.7554957910802835,0.2511469904105737,43.44043347411937,1.3502825399393004,2.1356777110318306,2026,1181,ffffff,00539b,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,W01,W,Duke,1373,eea60f,037961,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/2561.png,W16,W,Siena
m,2026,W,2,15,13,W02,W15,1163,1202,Connecticut,Furman,21.145779118983395,-2.7495149738614244,23.895294092844818,False,False,False,True,True,(W02) Connecticut vs (W15) Furman,"(1163, 1202)",6.05351618581102,-13.0,0.0426269919031463,0.5512042283564389,23.895294092844814,0.5137276964307735,0.0955929853465914,0.8345795897662709,13.0,-13.0,0,5.25,9.067469004879523,0.0839958994141468,0.353211552000479,0.0528063075465312,-9.507916179506111,-0.0125570895839675,-0.0006596355972222,-0.0142362666944879,0.0417510639278295,-0.0033602114479426,14.126907274447536,4.6189910949414354,0.0147191752074873,-0.0075823914929786,-0.045867332343245,13.802638440355675,-0.0239124688707914,0.0436818696723206,0.0518543531895998,0.0414289442721099,-0.7340607210626189,0.0374334794822565,-0.0643174848971453,0.0113355441442648,-0.0379871242265376,-0.0099428654585628,0.0129270661132711,0.0021037279182173,6.780216383176896,21.52894518232944,0,10.118876539136023,16.89909292231292,0.0692767242066594,0.0603886990395098,0.0452076967460227,0.0392972636056323,0.0613459483530479,0.0536247351308835,1.7903200649770217,0.2649824430035823,22.8701074452352,1.140130512056333,2.967220926634141,2026,1163,a2aaad,0c2340,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,W02,W,Connecticut,1202,ffffff,582c83,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/231.png,W15,W,Furman
m,2026,W,3,14,11,W03,W14,1277,1295,Michigan St,N Dakota St,21.354331038140568,2.472982914063641,18.88134812407693,False,False,False,True,True,(W03) Michigan St vs (W14) N Dakota St,"(1277, 1295)",6.663021129423818,-11.0,0.0459663938573826,0.4271662544868847,18.88134812407693,-1.1114041582501366,0.0453255976493038,-0.5431547002453517,11.0,-11.0,0,4.125,9.88041683528407,0.1352050540014087,0.1927885993699654,0.0459482511983428,-2.495984897410011,0.0400045521619154,-0.0049369115853805,0.049658294110787,0.036092878493833,0.0528879270935281,6.972271264169079,4.476286366759069,0.0285398940373007,-0.0051938280843928,-0.0337347382940976,14.987930755505465,0.0019165832056862,-0.0359368830451233,0.0658339997210521,0.0157040720516511,-1.586029411764713,-0.0355542619343014,-0.0446718276515666,-0.0036072912179468,-0.0536627759235661,0.0105436357719584,0.0623604317716646,0.0057943868069876,8.216947431133134,18.120825953461672,-5,-5.81629114222998,2.400656288903153,0.1066651599641079,0.0511420792827357,0.0287978267087171,0.1058385518829674,-0.0374708451399876,-0.0464805188170818,0.4752784899737335,0.122000436404555,24.868347590789533,0.3053056717110665,-1.974118613111496,2026,1277,ffffff,173f35,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,W03,W,Michigan St,1295,ffffff,01402A,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,W14,W,N Dakota St
m,2026,W,4,13,9,W04,W13,1242,1465,Kansas,Cal Baptist,19.34371203201689,3.428624052668689,15.9150879793482,False,False,False,True,True,(W04) Kansas vs (W13) Cal Baptist,"(1242, 1465)",5.758982053505759,-9.0,-0.0355002871797692,0.2454495418922714,15.9150879793482,-2.4210170385932024,-0.0403347335804242,-0.2147129810179112,9.0,-9.0,0,1.5625,-3.105416249574474,0.1224703134998301,0.6152397685413263,0.0826061369335206,1.7021489733231334,-0.036567870951684,0.0263575463806331,-0.0371921794598811,0.0448245611273789,-0.0114137379575885,1.1054848108844704,2.807633784207624,0.0314370059762626,-0.0122263177105928,-0.0117701911266977,14.60773122271022,-0.0047304070296733,-0.030872370723446,-0.0808192820404574,-0.0631855683888027,0.5481060606060595,-0.0010369945173218,0.0370437695058699,0.0038572131572433,0.0480798040524528,-0.0255978135937613,-0.0389508911454143,0.0267565298705896,-4.920322950547656,19.159526660801,0,8.421802120917889,3.5014791703702315,0.0910333075235674,0.0948324546441135,0.0381277375073308,-0.1173871529921413,0.0036934125123514,-0.0052745571296846,1.4504211452298434,0.0207010089729386,11.502314973135746,-0.4310756829268435,-0.7571553803842213,2026,1242,e8000d,0051ba,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,W04,W,Kansas,1465,,000080,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/2856.png,W13,W,Cal Baptist
m,2026,W,5,12,7,W05,W12,1385,1320,St John's,Northern Iowa,18.52834320680997,8.399484363478097,10.128858843331875,False,False,False,True,True,(W05) St John's vs (W12) Northern Iowa,"(1320, 1385)",4.442854464417605,-5.0,0.0343362876618188,0.2816290678076042,10.128858843331876,-3.058013568760055,0.0249220699252637,-0.5726342523800071,7.0,-7.0,0,1.0,-5.952484037151827,0.014589284427543,-0.2116141724755169,0.0253974345001365,1.950164959918368,-0.0385456254369811,-0.0440435791213219,0.1593274075523753,0.0228992728894569,0.1230269465209163,3.338738234969231,5.288903194887595,-0.0146277141469622,0.0165577726439638,0.0045446551457591,7.271811242992363,-0.0026658857428134,0.0095749330086956,0.1311070685546861,0.0036723207036223,7.298445378151264,0.0116923310756438,-0.0553562061530627,-0.0246998361668603,-0.0869026826872039,-0.0006463358937209,0.0360896982413332,-0.0209687028811819,-8.005874137500122,11.903298305997245,0,18.582444544242115,10.576570406741991,0.0292169985745053,0.0088396618561727,-0.0485882342670811,0.0925614431177049,0.0143582168184573,0.0102212689024166,0.4166716218627325,0.0512957598648795,1.3193272058405352,0.2671668405735425,-2.052045688212411,2026,1385,101010,d10000,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png,W05,W,St John's,1320,ffffff,473282,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png,W12,W,Northern Iowa
m,2026,W,6,11,5,W06,W11,1257,1378,Louisville,South Florida,21.5892488398646,12.577374055817378,9.01187478404722,False,False,True,True,True,(W06) Louisville vs (W11) South Florida,"(1257, 1378)",5.734296319385509,-5.0,-0.1063874438172811,0.0490238488306895,9.01187478404722,-1.3342791530599118,-0.1541025465064416,-0.1430521019888385,5.0,-5.0,0,0.0,-3.915852969559898,-0.0053459351338075,-0.2196111685959614,-0.0186196520556773,-0.8222814847322013,0.0407229841457795,0.0514234466004305,-0.0828437749883079,0.0308917397452391,-0.0527029645471746,2.3631296657949203,1.5408481810627137,-0.0403411698599083,-0.0070931787780158,-0.0008512867595098,6.677862969401509,0.0059106253911055,-0.0225442466466304,-0.0615422050416383,-0.0037099454520824,-3.5724584555229626,-0.0229291452524795,0.0841594060955446,0.0284740743201456,0.1249949347175431,0.0116532777993894,0.0040108483868556,0.0405220648277476,-5.82556265102658,5.160380909200734,1,12.557965270709635,6.732402619683057,0.0349952347261008,-0.0115264732776615,0.0522747333599403,-0.0208192208958588,-0.0288397706435851,-0.0341975244460198,-0.3776609153494709,0.0325095760242901,2.762009999841611,-0.0969260181908723,-0.4995709209544429,2026,1257,000000,c9001f,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,W06,W,Louisville,1378,231f20,004A36,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,W11,W,South Florida
m,2026,W,7,10,3,W07,W10,1417,1416,UCLA,UCF,15.243020777007114,11.216615772839829,4.026405004167286,False,False,False,True,True,(W07) UCLA vs (W10) UCF,"(1416, 1417)",3.1210165803129275,-2.0,0.1306479849253505,-0.0075903396293597,4.026405004167286,2.052467687572083,0.1529882589841724,0.1557004859679968,3.0,-3.0,0,2.0625,4.35025910303359,0.0567425727828525,0.8173483007521802,0.0069934743062046,-3.1445614051528565,-0.0397568916008866,0.0093886639991762,0.0232496444001948,0.0097527648009075,0.0249378749697588,6.604400873669105,3.4598394685162503,0.117346831692049,-0.0086406019778746,-0.0167082263853722,0.3054596716903717,-0.0106588832063018,0.0225222233130273,-0.0300243938944647,0.0137503985735029,-4.760431985294119,0.0197351280754469,0.0159684587538419,0.0146126494479333,0.035255116625617,-0.0235693429279754,-0.0302788421483448,0.0133468914489578,4.658554382412006,2.422414794465695,2,4.50828354127103,9.166837923683037,-0.0606042589091965,0.0156340762840793,0.0260968903845485,-0.0697812854953514,0.0303940112817488,0.0460915662410027,0.3360605703857039,0.1503898973562925,4.655718774723962,0.3032744823177821,0.5471035862281215,2026,1417,f2a900,2774ae,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,W07,W,UCLA,1416,231f20,000000,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,W10,W,UCF
m,2026,W,8,9,1,W08,W09,1326,1395,Ohio St,TCU,15.770835653566415,13.230785986568527,2.540049666997888,False,False,False,True,True,(W08) Ohio St vs (W09) TCU,"(1326, 1395)",1.8031369660186891,-2.0,-0.0773960406465595,0.0094647367111799,2.540049666997888,0.3371944899918249,-0.1198443841101681,0.0059983574950296,1.0,-1.0,0,-0.25,3.2088460011088182,-0.0548991625787165,-0.0847071224217297,-0.0548397586947962,6.30596145000672,-0.0053738055172233,0.0617174728247661,-0.0055213905136844,0.0602696171918244,0.0219673769597182,1.038527664184226,7.344489114190935,-0.0765280325424255,-0.0147439628567649,-0.0036955561761359,2.2352003229730766,-0.0071306135745842,-0.0402995263583937,-0.0334088820302564,0.0343938682499266,-3.146590909090904,-0.0375154488337218,0.0377808451474893,0.0340169365767165,0.0812153714893855,-0.0018929731245417,-0.0025317482192722,0.0607280426962051,3.800751002088252,-2.766884451073281,0,-4.340636673849184,-0.5398856717609313,0.021628869963709,-0.0400957958380312,0.065413029000902,-0.0387826875474799,-0.0303848352591376,-0.038406553233852,-0.7617331094488926,0.0093128873224141,5.444046324081896,-0.145182715507808,0.0211523710830082,2026,1326,505056,ba0c2f,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,W08,W,Ohio St,1395,f1f2f3,4d1979,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,W09,W,TCU
m,2026,X,1,16,15,X01,X16,1196,1341,Florida,Prairie View,26.304452175445643,-11.78373159408633,38.08818376953197,False,False,True,True,True,(X01) Florida vs (X16) Prairie View,"(1196, 1341)",13.103753805264112,-15.0,0.0568234689122986,0.7012789666808794,38.08818376953197,1.4192184276098647,-0.0309224987281343,0.0178109917778439,15.0,-15.0,0,6.0625,24.310402931481036,0.089553902383075,0.7200062001442384,0.0052093582406632,-7.27532633186577,0.0982302416703414,0.0413682919538903,-0.0420175826877645,-0.0335267633468803,-0.0477278618635294,23.16759116922164,15.89226483735588,-0.0408068467309084,-0.0088104432534003,-0.0392532034341514,19.966957358969356,0.0042330033757684,-0.0376335877349338,0.1573346694784426,-0.0211207314463422,-0.581451612903237,-0.0030795381371915,0.0675574060598855,-0.0152192805103168,0.0394077795122831,0.0056291668424217,0.1340566221893319,0.0250902142522104,21.91282335733011,28.923185253776538,-2,-2.285623524518794,19.62719983281132,0.1303607491139835,0.0140198014940635,0.0806214953880417,0.2555649111487841,-0.00731254151296,-0.0432627545773555,0.5949681422647841,0.4733455937404695,44.27736029045038,1.568092062324976,0.0574641927459093,2026,1196,fa4616,0021a5,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,X01,X,Florida,1341,eaaa00,4d0960,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,X16,X,Prairie View
m,2026,X,1,16,15,X01,X16,1196,1250,Florida,Lehigh,26.304452175445643,-8.916503653491684,35.22095582893733,False,True,True,True,True,(X01) Florida vs (X16) Lehigh,"(1196, 1250)",,-15.0,0.0224563491752241,0.6123305473055557,35.22095582893733,2.0282970866948737,-0.1280585432744476,0.0476424031050899,15.0,-15.0,0,6.0625,28.00279525293113,-0.0059097591982643,0.496220820008816,0.0503431915807364,-8.870750530221812,0.0657249312182506,0.000480485940388,0.0680625550111919,-0.0130761956665024,0.0409567325017233,23.48834095608549,14.617590425863696,-0.0101947091869307,-0.0044239556154876,-0.0412611108506287,17.444837747864373,-0.0281470745420739,-0.0081947584134302,0.1988924626432005,0.0121851500635589,3.6328125,-0.0041653413472023,-0.0132220726773877,-0.0516406237446333,-0.074745281980814,-0.0102690260845214,0.129113023845755,0.0038833232333519,27.0021755507695,24.47191467579952,-1,-9.028908593691265,17.973266957078238,0.0042849499886664,0.0547671471962241,0.0417415967910168,0.2646173938614511,0.0239817331948715,0.0020742676710911,0.9388146161326828,0.4806882380265064,45.4476330007955,1.8199196076841075,0.1661589608695516,2026,1196,fa4616,0021a5,primary,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,X01,X,Florida,1250,b69e70,6c2b2a,alternate,https://a.espncdn.com/i/teamlogos/ncaa/500/2329.png,X16,X,Lehigh
