Season,Selection Sunday Date
2005,"March 13, 2005"
2006,"March 12, 2006"
2007,"March 11, 2007"
2008,"March 16, 2008"
2009,"March 15, 2009"
2010,"March 14, 2010"
2011,"March 13, 2011"
2012,"March 11, 2012"
2013,"March 17, 2013"
2014,"March 16, 2014"
2015,"March 15, 2015"
2016,"March 13, 2016"
2017,"March 12, 2017"
2018,"March 11, 2018"
2019,"March 17, 2019"
2020,"March 15, 2020*"
2021,"March 14, 2021"
2022,"March 13, 2022"
2023,"March 12, 2023"
2024,"March 17, 2024"
2025,"March 16, 2025"
2026,"March 15, 2026"
